assigned,longitude,latitude
oberholseri,-99.12,28.36
oberholseri,-97.6,26.08
oberholseri,-98.61,26.87
oberholseri,-100.29,25.97
oberholseri,-98.07,27.96
oberholseri,-97.79,26.16
oberholseri,-97.62,26.72
oberholseri,-99.08,26.5
oberholseri,-100.48,25.76
oberholseri,-98.3,28.45
oberholseri,-97.71,26.09
oberholseri,-100.44,25.65
oberholseri,-100.52,25.49
oberholseri,-100.16,25.94
oberholseri,-98.42,27.86
oberholseri,-98.12,26.18
oberholseri,-97.98,26.21
oberholseri,-97.76,26.3
oberholseri,-98.26,26.1
oberholseri,-98.01,26.45
oberholseri,-98.13,27.22
oberholseri,-100.36,25.82
oberholseri,-98.25,27.8
oberholseri,-98.45,26.44
oberholseri,-97.17,26.13
oberholseri,-97.6,25.97
oberholseri,-99.31,27.08
oberholseri,-99.29,28.54
oberholseri,-98.55,26.47
oberholseri,-98.7,28.46
oberholseri,-97.54,26.5
oberholseri,-100.07,28.28
oberholseri,-97.8,27.52
oberholseri,-98.69,27.81
oberholseri,-98.48,26.3
oberholseri,-98.05,26.56
oberholseri,-97.78,27.3
oberholseri,-98.06,26.35
oberholseri,-99.41,28.3
oberholseri,-100.08,25.73
oberholseri,-98.62,27.9
oberholseri,-98.66,27.3
oberholseri,-97.66,27.29
oberholseri,-99.3,24.72
oberholseri,-100.03,25.9
oberholseri,-100.25,25.82
oberholseri,-100.15,25.8
oberholseri,-98.22,28.02
oberholseri,-98.51,28.13
oberholseri,-100.45,25.19
oberholseri,-99.14,26.58
oberholseri,-100.4,25.56
oberholseri,-99.64,24.97
oberholseri,-100.65,25.5
oberholseri,-99.53,28.1
oberholseri,-100.32,27.3
oberholseri,-98.95,27.53
oberholseri,-99.36,27.9
oberholseri,-98.19,26.5
oberholseri,-98.35,26.36
oberholseri,-100.24,24.68
oberholseri,-98.31,26.27
oberholseri,-100.63,25.37
oberholseri,-98.23,29.55
oberholseri,-100.62,26.48
oberholseri,-100.43,25.45
oberholseri,-100.48,25.96
oberholseri,-98.47,25.9
oberholseri,-98.63,28.59
oberholseri,-97.35,26.23
oberholseri,-97.52,25.81
oberholseri,-100.66,25
oberholseri,-99.52,25.5
oberholseri,-98.78,26.07
oberholseri,-97.91,27.52
oberholseri,-99.06,26.18
oberholseri,-98.15,26.07
oberholseri,-99.35,28.04
oberholseri,-99.21,27.63
oberholseri,-100.51,26.57
oberholseri,-97.89,26.27
oberholseri,-98.75,27.35
oberholseri,-98.65,26.6
oberholseri,-99.48,27.6
oberholseri,-98.78,26.19
oberholseri,-98.32,25.76
oberholseri,-97.38,29.5
oberholseri,-100.2,26.41
oberholseri,-98.16,26.3
oberholseri,-99.82,24.49
oberholseri,-100.63,26.86
oberholseri,-99.21,28.43
oberholseri,-97.45,25.9
oberholseri,-99.44,27.04
oberholseri,-97.67,26.19
oberholseri,-100.63,25.09
oberholseri,-97.64,27.43
oberholseri,-97.38,28.1
oberholseri,-98.12,29.71
oberholseri,-97.33,26.39
oberholseri,-97.42,27.75
oberholseri,-100.19,24.88
oberholseri,-98.55,28.24
oberholseri,-97.55,26.33
oberholseri,-99.01,26.4
oberholseri,-97.85,26.08
oberholseri,-98.07,28.42
oberholseri,-98.62,26.33
oberholseri,-98.23,26.41
oberholseri,-98.17,26.78
oberholseri,-100.32,25.72
oberholseri,-100.58,25.65
oberholseri,-100.27,25.25
oberholseri,-99.94,24.75
oberholseri,-98.8,26.84
oberholseri,-98.78,26.72
oberholseri,-99.22,28.04
oberholseri,-98.05,26.66
oberholseri,-97.78,26.79
oberholseri,-98.53,27.34
oberholseri,-98.07,27.75
oberholseri,-97.45,26.15
oberholseri,-98.79,26.94
oberholseri,-97.86,27.17
oberholseri,-99.91,27.86
oberholseri,-99.71,28.57
oberholseri,-99.27,26.91
oberholseri,-98.08,28.33
oberholseri,-99.09,28.6
oberholseri,-97.85,27.64
oberholseri,-97.45,25.99
oberholseri,-100.32,24.84
oberholseri,-97.78,26.55
oberholseri,-100.04,24.77
oberholseri,-100.15,25.66
oberholseri,-98.49,26.64
oberholseri,-98.17,26.93
oberholseri,-97.95,26.06
oberholseri,-98.08,29.07
oberholseri,-98.12,27.37
oberholseri,-98.75,26.52
oberholseri,-97.24,28.7
oberholseri,-97.58,26.24
oberholseri,-98.15,24.85
oberholseri,-97.34,25.93
oberholseri,-97.75,28.4
oberholseri,-98.2,23.77
oberholseri,-98.07,29.16
oberholseri,-99.5,27.5
oberholseri,-98.37,26.18
oberholseri,-96.26,29.95
oberholseri,-98.83,26.33
oberholseri,-97.9,28
oberholseri,-98.21,24.49
oberholseri,-97.83,25.42
oberholseri,-97.29,26.14
