"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"insularum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-108.71	29.84	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.85	30.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.9	29.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.96	29.69	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.86	31.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.97	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110	27.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.84	29.24	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.03	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.59	28.2	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.09	31.4	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.88	27.65	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.88	29.18	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.95	29.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.96	31.39	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.63	31.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.09	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.12	27.99	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	28	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.97	31.34	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.99	31.41	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.91	29.07	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.62	31.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.53	28.46	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.95	27.91	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.45	31.43	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.02	29.06	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.11	30.17	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.09	31.4	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.79	29.53	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.68	29.82	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.99	27.94	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.59	28.2	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.03	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.84	29.24	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.97	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.91	29.13	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111	27.98	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110	27.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.94	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.96	29.69	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-113.15	31.39	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.73	29.49	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.9	29.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.15	29.02	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.85	30.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.04	29.8	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.11	27.98	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-108.71	29.84	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.04	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.82	27.93	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.53	30.4	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.74	29.29	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.39	29.43	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.97	28.98	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.87	29.18	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.63	28.76	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.05	29.16	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.67	29.93	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.98	29.17	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.12	30.55	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.95	29.14	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.12	30.17	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.15	30.33	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.31	31.45	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.94	29.09	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.58	28.8	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.01	28.27	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.94	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.69	29.91	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.01	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.36	30.26	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.12	28.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.84	27.89	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-112.05	30.68	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-113.18	31.41	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.81	29.2	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.32	29.12	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.87	27.51	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.42	28.29	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.47	31.16	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.98	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-113.52	31.32	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-113.48	31.33	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-108.11	29.27	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.12	28.3	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.04	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.88	27.65	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-108.7	29.03	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.11	30.03	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-113.59	31.36	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.75	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.77	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.9	27.89	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.98	27.99	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.23	27.58	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.32	29.13	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.13	28	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.05	28.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.04	28	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-111.1	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.09	27.56	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.69	29.81	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-108.14	27.25	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-110.44	27.77	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri x Toxostoma curvirostre celsum"	-110.88	31	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-109.91	27.86	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre insularum"	-112.15	28.99	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-109.94	27.5	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-112.1	29.4	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre insularum"	-112.28	28.78	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.95	28.62	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-110.81	27.96	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre celsum"	-108.42	30.01	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.93	31.36	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.94	27.61	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.9	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.62	29.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.94	31.13	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre celsum"	-108.53	28.13	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre celsum"	-108.27	27.38	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.72	29.8	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.62	28.75	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.3	28.5	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.12	28.52	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-110.9	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-110.81	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-113.55	31.31	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-109.53	28.46	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-110.9	29.38	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-109.93	28.62	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-110.58	28.62	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-109.72	28.58	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-111.2	31.2	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-109.97	27.48	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre insularum"	-112.63	28.67	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-110.87	27.92	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre maculatum"	-110.85	27.97	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-112.07	30.65	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-110.97	29.09	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre"	-110.98	29.4	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-110.89	27.98	"unknown"	0	1	1	"insularum"
"Toxostoma curvirostre palmeri"	-109.95	27.5	"unknown"	0	1	1	"insularum"
