"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-102	33.51	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.9	27.52	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.28	20.58	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.18	19.58	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.95	27.53	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.61	35.09	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.12	28.36	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.87	32.26	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.86	27.47	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.64	24.55	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.08	28.93	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112	33.48	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.51	31.85	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.99	32.46	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.29	23.86	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.21	32.27	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.92	32.5	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.3	20.65	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.54	33.08	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.94	33.43	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.09	20.9	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.21	19.5	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.77	33.24	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.14	33.62	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.33	26.18	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-104.65	24.2	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.66	30.36	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.8	33.6	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.47	33.37	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.56	25.39	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.86	32.33	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.75	20.18	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.16	32.25	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.14	19.31	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.03	19.25	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.01	32.18	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.15	19.32	"unknown"	0	0	"none"
