"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-110.14	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.2	31.86	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.16	31.9	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.07	31.72	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.24	31.39	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.3	31.57	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-107.98	32.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.28	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.14	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.26	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.3	31.47	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.21	31.56	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.15	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.21	31.89	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.13	31.92	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.29	32.76	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-107.98	32.5	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-107.97	32.59	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.29	31.53	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.24	31.44	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre celsum R.T.Moore, 1941"	-109.14	31.91	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.03	31.87	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.11	31.4	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.04	31.87	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre palmeri (Coues, 1872)"	-109.8	31.76	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.82	31.9	"unknown"	1	0	1	"celsum"
