"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-110.9	29.01	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.96	29.69	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.97	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.84	29.24	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.03	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.59	28.2	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.88	29.18	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.95	29.01	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.09	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.12	27.99	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	28	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.91	29.07	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-110.95	27.91	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre (Swainson, 1827)"	-111.02	29.06	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.79	29.53	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.99	27.94	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.59	28.2	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.03	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.84	29.24	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.97	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.91	29.13	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111	27.98	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.94	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.96	29.69	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.73	29.49	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.9	29.01	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-112.15	29.02	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.11	27.98	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.04	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.82	27.93	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.39	29.43	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.97	28.98	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.87	29.18	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.05	29.16	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-112.67	29.93	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.98	29.17	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.95	29.14	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.94	29.09	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.58	28.8	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.01	28.27	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.94	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-112.69	29.91	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.01	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-112.12	28.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.84	27.89	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.81	29.2	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.32	29.12	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.42	28.29	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.98	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.12	28.3	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.04	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.75	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.77	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.9	27.89	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.98	27.99	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.32	29.13	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.13	28	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.05	28.01	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.04	28	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-111.1	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre maculatum"	-110.44	27.77	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-112.15	28.99	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-112.1	29.4	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-112.28	28.78	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre maculatum"	-110.81	27.96	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.9	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.62	29.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.62	28.75	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-110.9	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-110.81	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-110.9	29.38	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre maculatum"	-110.58	28.62	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-112.63	28.67	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre maculatum"	-110.87	27.92	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre maculatum"	-110.85	27.97	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-110.97	29.09	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.98	29.4	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre palmeri"	-110.89	27.98	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-112.34	29.22	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-112.38	29	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre insularum"	-113.18	28.83	"unknown"	0	1	1	"curvirostre"
"Toxostoma curvirostre"	-110.97	29.09	"unknown"	0	1	1	"curvirostre"
