"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-102.001917	33.513549	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.896577	27.520356	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.283858	20.578712	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.182015	19.577702	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.948725	27.534283	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.607208	35.093414	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.116025	28.359513	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.870387	32.260141	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.862988	27.469129	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.862971	27.469114	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.635554	24.547273	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.07542	28.930588	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.999472	33.484253	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.511963	31.853836	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.985275	32.455987	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.285035	23.85979	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.210784	32.272198	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.921618	32.503792	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.299817	20.648965	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.537548	33.079045	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.935753	33.428263	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.092104	20.898756	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.207988	19.500477	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.767787	33.236023	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-107.137742	33.621067	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.330475	26.184435	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-104.654524	24.199218	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.661011	30.358492	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.804783	33.59958	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.46596	33.36801	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.557476	25.390403	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.855184	32.328879	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.752842	20.181879	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.160758	32.253622	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.143563	19.310078	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.025425	19.252545	"unknown"	0	0	"none"
