"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-101	29.9	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.21	29.32	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.97	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.66	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.45	29.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.14	29.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.32	29.87	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.02	29.87	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.57	30.25	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.3	29.95	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.45	29.52	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.96	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.47	29.49	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.37	30.11	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.99	29.88	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.4	30.14	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.93	30.6	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.79	29.36	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.91	29.22	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.95	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.92	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.1	29.49	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.99	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-101.32	29.69	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.96	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.37	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.06	29.49	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.16	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.52	29.14	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.61	29.17	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.89	29.35	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.31	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.68	30.09	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.98	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-104.31	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.34	29.86	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.15	29.26	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.25	29.25	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.5	29.84	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.9	29.1	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.94	30.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.94	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-102.92	29.2	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.67	30.37	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.55	29.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-100.89	29.36	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii Audubon, 1844"	-103.3	29.25	"unknown"	1	0	0	0	1	"medius"
