"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-80.23	26.63	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.54	17.63	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.71	19.22	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.71	19.23	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.03	18.9	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.44	23.3	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.86	21.48	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.24	34.1	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.29	20.73	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.73	19.34	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.16	15.73	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.37	20.78	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.83	20.6	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.28	21.54	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-108.61	25.66	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.5	28.26	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.54	28.86	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.05	32.45	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.51	26.54	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.89	18.83	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.01	18.43	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.93	32.8	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.16	33.28	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.06	32.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.08	33.06	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.48	33.89	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.15	23.73	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.38	33.11	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.29	34.15	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.14	32.77	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.86	33.81	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.51	33.05	"unknown"	0	0	0	0	0	"none"
