assigned,longitude,latitude
arizonae,-110.69,32.51
arizonae,-110.55,32.06
arizonae,-110.9,32.46
arizonae,-109.5,32.88
arizonae,-110.81,32.25
arizonae,-111.18,32.16
arizonae,-111.09,32.48
arizonae,-110.6,32.15
arizonae,-110.17,31.63
arizonae,-111.11,32.38
arizonae,-111.05,31.59
arizonae,-111.51,31.59
arizonae,-110.3,32.19
arizonae,-110.35,31.84
arizonae,-109.82,32.23
arizonae,-111.41,32.54
arizonae,-110.9,32.32
arizonae,-111.33,31.82
arizonae,-109.81,33.09
arizonae,-110.94,31.57
arizonae,-110.4,32.88
arizonae,-110.92,32.58
arizonae,-110.73,32.16
arizonae,-110.47,32.16
arizonae,-110.65,32.74
arizonae,-111,32.13
arizonae,-109.45,32.15
arizonae,-110.69,31.52
arizonae,-109.83,32.92
arizonae,-111.56,31.5
arizonae,-111.39,31.61
arizonae,-110.7,32.07
arizonae,-111.05,31.7
arizonae,-109.98,33.06
arizonae,-110.52,33.17
arizonae,-109.27,32
arizonae,-111.18,31.89
arizonae,-109.7,32.75
arizonae,-110.73,31.61
arizonae,-111.05,32.21
arizonae,-110.8,31.8
arizonae,-111.39,31.92
arizonae,-111.7,32.59
arizonae,-111.26,32.25
arizonae,-109.96,31.46
arizonae,-110.74,32.92
arizonae,-110.83,32.09
arizonae,-110.06,31.93
arizonae,-110.96,31.88
arizonae,-110.53,32.92
arizonae,-111.23,32.44
arizonae,-110.4,32.32
arizonae,-111.26,32.04
arizonae,-111.19,31.7
arizonae,-110.27,31.46
arizonae,-110.68,32.6
arizonae,-111.03,31.79
arizonae,-111.52,32.69
arizonae,-109.31,31.66
arizonae,-111.32,32.49
arizonae,-110.99,32.41
arizonae,-110.83,31.95
arizonae,-110.36,31.55
arizonae,-110.42,32.03
arizonae,-110.64,31.8
arizonae,-109.44,32.52
arizonae,-109.55,32.74
arizonae,-109.35,32.44
arizonae,-110.71,31.98
arizonae,-110.68,32.24
arizonae,-109.84,32.82
arizonae,-110.94,31.67
arizonae,-110.22,31.88
arizonae,-110.32,32.44
arizonae,-110.86,31.49
arizonae,-110.76,33.01
arizonae,-111.05,32.3
arizonae,-109.94,31.96
arizonae,-110.25,31.56
arizonae,-110.76,32.44
arizonae,-111.23,31.46
arizonae,-109.18,31.9
arizonae,-110.92,32.21
arizonae,-109.72,31.56
arizonae,-110.52,32.58
arizonae,-110.71,32.83
arizonae,-109.31,32.97
arizonae,-110.24,32.34
arizonae,-110.89,31.75
arizonae,-110.77,32.71
arizonae,-110.56,31.91
arizonae,-111.15,33.11
arizonae,-110.29,31.99
arizonae,-111.59,31.77
arizonae,-109.2,32.87
arizonae,-110.25,32.77
arizonae,-110.13,31.53
arizonae,-110.96,33.11
arizonae,-109.51,31.59
arizonae,-109.76,32.56
arizonae,-110.7,32.34
arizonae,-110.96,31.97
arizonae,-110.79,32.62
arizonae,-110.19,31.72
arizonae,-110.98,31.47
arizonae,-110.56,32.31
arizonae,-109.77,32.68
arizonae,-110.07,31.71
