assigned,longitude,latitude
bellii,-97.12,32.98
bellii,-95.84,35.79
bellii,-100.02,29.69
bellii,-96.57,38.46
bellii,-96.42,36.85
bellii,-98.88,30.27
bellii,-97.89,30.34
bellii,-94.57,37.52
bellii,-94.89,38.88
bellii,-97.13,32.78
bellii,-96.87,29.16
bellii,-99.41,28.3
bellii,-98.69,27.81
bellii,-98.46,30.19
bellii,-98.01,29.22
bellii,-100.11,30.06
bellii,-100.11,30.83
bellii,-99.16,30.05
bellii,-97.84,30.16
bellii,-97.7,31.89
bellii,-99.5,30.08
bellii,-99.85,31.21
bellii,-97.87,30.58
bellii,-100.07,28.28
bellii,-99.62,30.97
bellii,-99.02,29.96
bellii,-99.08,30.64
bellii,-98.1,28.84
bellii,-97.79,30.41
bellii,-98.93,31.15
bellii,-98.24,29.61
bellii,-99.83,28.53
bellii,-98.76,29.55
bellii,-100.25,31.26
bellii,-98.45,30.49
bellii,-98.96,30.71
bellii,-100.08,29.23
bellii,-98.18,32.95
bellii,-99.63,30.88
bellii,-99.14,28.86
bellii,-97.65,30.22
bellii,-99.68,29.44
bellii,-98.68,30.34
bellii,-98.38,32.98
bellii,-98.92,29.99
bellii,-98.74,31.44
bellii,-99.67,27.66
bellii,-99.49,29.35
bellii,-98.83,30.72
bellii,-98.2,31.07
bellii,-98.69,31.2
bellii,-98.53,30.63
bellii,-98.73,30.75
bellii,-99.78,30.68
bellii,-99.12,30.74
bellii,-99.23,30.75
bellii,-100.19,30.45
bellii,-99.79,30.88
bellii,-97.75,31.15
bellii,-97.85,31.2
bellii,-98.79,29.96
bellii,-97.93,30.44
bellii,-98.43,32.87
bellii,-97.58,31.15
bellii,-97.43,32.59
bellii,-94.16,40.89
bellii,-97.36,30.71
bellii,-97.19,31.93
bellii,-98.62,29.57
bellii,-100.12,29.9
bellii,-98.37,29.65
bellii,-97.35,31.92
bellii,-97.31,31.61
bellii,-98.12,30.36
bellii,-93.27,41.56
bellii,-99.32,31.12
bellii,-97.47,31.28
bellii,-98.6,30.77
bellii,-93.86,37.91
bellii,-98.61,31.26
bellii,-93.74,41.52
bellii,-97.67,32.43
bellii,-98.81,30.51
bellii,-96.78,40.77
bellii,-95.87,38.5
bellii,-97.85,31.83
bellii,-98.44,30.88
bellii,-99.82,29.02
bellii,-96.6,39.11
bellii,-99.13,31.28
bellii,-97.78,32.06
bellii,-96.73,32.82
bellii,-97.73,32.9
bellii,-97.46,32.22
bellii,-98.24,33.05
bellii,-98.07,30.62
bellii,-96.87,40.99
bellii,-96.34,30.63
bellii,-95.63,29.72
bellii,-98.25,31.63
bellii,-97.18,32.68
bellii,-98.19,29.87
bellii,-96.98,33.06
bellii,-98.5,29.65
bellii,-96.63,32.97
bellii,-94.84,29.8
bellii,-98.67,29.43
bellii,-99.78,29.27
bellii,-97.68,30.99
bellii,-99.81,30.98
bellii,-97.88,30.77
bellii,-93.99,38.06
bellii,-94.03,38.76
bellii,-98.87,31.74
bellii,-98.46,31.01
bellii,-95.75,36.02
bellii,-99.03,30.22
bellii,-99.92,29.22
bellii,-99.46,31.02
bellii,-97.95,31.74
bellii,-98.46,30.79
bellii,-98.04,30.89
bellii,-98.36,30.74
bellii,-98.56,32.88
bellii,-100.28,31.88
bellii,-96.85,40.69
bellii,-97.32,32.53
bellii,-96.84,32.87
bellii,-94.39,29.57
bellii,-98.36,28.45
bellii,-97.65,30.68
bellii,-99.97,29.37
bellii,-98.39,30.64
bellii,-98.22,30.7
bellii,-99.28,29.74
bellii,-94.64,38.25
bellii,-98.73,29.8
bellii,-97.17,32.88
bellii,-99.77,30.54
bellii,-98.1,29.82
bellii,-97.74,30.52
bellii,-97.2,37.19
bellii,-96.7,33.09
bellii,-99.28,30.66
bellii,-95.82,29.9
bellii,-94.13,40.59
bellii,-99.07,29.8
bellii,-98.24,30.55
bellii,-93.55,41.56
bellii,-99.19,29.91
bellii,-97.93,31.32
bellii,-98.42,32.18
bellii,-96.24,33.17
bellii,-96.07,41.14
bellii,-97.78,31.02
bellii,-99.73,29.16
bellii,-98.14,30.85
bellii,-100.12,29.49
bellii,-96.69,40.91
bellii,-98.57,30.27
bellii,-94.14,38.46
bellii,-98.85,30.08
bellii,-95.21,38.91
bellii,-95.57,35.78
bellii,-99.74,29.59
bellii,-95.82,36.32
bellii,-95.62,29.86
bellii,-98.64,30.18
bellii,-95.96,36.97
bellii,-97.96,29.87
bellii,-97.28,32.88
bellii,-93.4,40.7
bellii,-99.83,28.67
bellii,-98.75,30.9
bellii,-96.33,38.5
bellii,-99.35,30.16
bellii,-95.86,32.12
bellii,-96.09,40.18
bellii,-94.92,38.69
bellii,-98.55,29.82
bellii,-97.87,30.25
bellii,-98.44,29.49
bellii,-95.31,28.93
bellii,-100.01,29.54
bellii,-94.08,40.5
bellii,-94.84,38.1
bellii,-98.02,30.71
bellii,-97.81,32.25
bellii,-96.94,40.76
bellii,-94.53,29.61
bellii,-98.02,30.13
bellii,-98.66,30.45
bellii,-95.4,29.72
bellii,-97.05,37.05
bellii,-99.59,29.83
bellii,-97.71,31.41
