assigned,longitude,latitude
medius,-100.66,29.81
medius,-100.45,29.61
medius,-103.14,29.27
medius,-100.3,29.95
medius,-103.45,29.52
medius,-100.99,29.88
medius,-104.1,29.49
medius,-104.68,30.09
medius,-100.34,29.86
medius,-103.25,29.25
medius,-103.67,30.37
medius,-102.94,30.66
medius,-103.92,29.29
medius,-100.41,29.32
medius,-100.91,29.51
medius,-103.78,29.26
medius,-103.96,29.5
medius,-101.56,29.81
medius,-102.11,30.04
medius,-100.75,29.26
medius,-101.15,29.97
medius,-102.93,29.19
medius,-100.64,30.57
medius,-103.62,29.16
medius,-103.31,30.94
medius,-101.01,29.47
medius,-103.72,30.96
medius,-104.64,30
medius,-104.3,29.53
medius,-102.79,30.89
medius,-100.55,29.34
medius,-104.5,30
medius,-104.03,29.33
medius,-103.62,29.31
medius,-100.51,29.84
medius,-100.45,30.53
medius,-100.57,30.25
medius,-104.02,29.87
medius,-100.85,29.85
medius,-100.89,29.96
medius,-102.8,29.43
medius,-103.8,30.54
medius,-101.08,30.16
medius,-101.98,30.21
medius,-103.94,30.61
medius,-103.47,28.88
medius,-104.54,29.86
medius,-102.19,31.41
medius,-101.85,30.66
medius,-103.51,29.88
medius,-101.4,29.54
medius,-101.21,29.34
medius,-102.91,30.2
medius,-103.67,28.77
medius,-100.82,29.37
medius,-101.48,30.4
medius,-101.55,30.6
medius,-101.32,29.7
medius,-103.91,29.1
medius,-103.57,30.04
medius,-101.82,30.27
medius,-102.95,29.57
medius,-102.39,30.14
medius,-104.1,29.95
medius,-101.83,30.47
medius,-100.76,29.98
medius,-101.01,29.37
medius,-101.13,29.61
medius,-101.16,29.79
medius,-101.72,30.44
medius,-100.99,29.77
medius,-100.71,29.39
medius,-100.84,29.72
medius,-102.9,28.3
medius,-102.94,28.43
medius,-102.95,28.61
medius,-102.8,29.05
medius,-102.07,30.86
medius,-103.8,29.11
medius,-103.79,30.66
medius,-100.98,29.27
medius,-103.87,30.92
medius,-100.42,29.46
medius,-103.06,29.82
medius,-103.24,30.03
medius,-103.2,29.4
medius,-103.15,29.17
medius,-103.24,30.21
medius,-101.52,30.18
medius,-103.27,29.9
medius,-104.32,29.83
medius,-104.59,30.22
medius,-103.51,29.13
medius,-103.36,29.22
medius,-103.64,29.97
medius,-102.1,28.5
medius,-103.01,29.13
medius,-103.25,29.81
medius,-103.49,31.42
medius,-104.68,30.58
medius,-103.34,29.34
medius,-103.24,29.71
medius,-103.45,29.63
