assigned,longitude,latitude
pusillus,-116.44,33.91
pusillus,-117.92,33.9
pusillus,-117.2,33.22
pusillus,-117.95,33.72
pusillus,-117.26,33.59
pusillus,-117.33,33.18
pusillus,-117.08,33.62
pusillus,-117.02,33.83
pusillus,-117.25,33.7
pusillus,-117.15,33.34
pusillus,-117.36,33.7
pusillus,-117.68,33.97
pusillus,-117.12,33.87
pusillus,-116.42,33.37
pusillus,-116.44,33.24
pusillus,-116.13,34
pusillus,-117.84,33.77
pusillus,-116.51,33.69
pusillus,-116.45,33.61
pusillus,-117.3,33.49
pusillus,-117.23,33.41
pusillus,-117.95,33.63
pusillus,-116.59,33.77
pusillus,-117.35,33.87
pusillus,-116.57,33.61
pusillus,-116.84,33.74
pusillus,-116.37,33.7
pusillus,-116.73,34
pusillus,-117.81,33.66
pusillus,-117.23,33.88
pusillus,-117.7,33.76
pusillus,-117.77,33.55
pusillus,-116.62,33.97
pusillus,-116.31,33.21
pusillus,-116.79,33.84
pusillus,-115.84,33.86
pusillus,-117.39,33.97
pusillus,-117.59,33.4
pusillus,-116.95,33.9
pusillus,-117.99,33.82
pusillus,-117.07,33.52
pusillus,-117.67,33.67
pusillus,-116.69,33.88
pusillus,-117.81,33.91
pusillus,-118,34
pusillus,-117.44,33.27
pusillus,-117.39,33.37
pusillus,-117.25,33.3
pusillus,-117.72,33.85
pusillus,-117.61,33.49
pusillus,-117.11,33.96
pusillus,-115.99,33.74
pusillus,-116.79,33.5
pusillus,-117.58,33.83
pusillus,-117.79,34
pusillus,-116.46,34
pusillus,-116.55,33.18
pusillus,-116.79,33.25
pusillus,-117.52,33.68
pusillus,-117.57,33.95
pusillus,-117.24,34
