"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-80.23	26.63	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.71	19.22	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.71	19.23	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.03	18.9	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.73	19.34	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.01	37.3	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.02	37.31	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.57	36.11	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.84	35.79	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.51	39.35	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.43	38.85	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.49	36.45	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.22	37.86	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.17	41.36	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-91.88	34.89	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.01	42.82	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.21	38.98	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.45	38.86	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.77	41.12	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.81	35.13	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.17	38.99	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.96	44.8	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-90.7	38.7	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.57	38.46	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.58	38.46	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.87	38.5	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.96	44.79	"unknown"	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.48	39.34	"unknown"	0	0	0	"none"
