"name"	"longitude"	"latitude"	"prov"	"date"	"key"	"subspecies"
"Vireo bellii Audubon, 1844"	"-80.232464"	"26.631688"	"gbif"	2023-01-02	"4012001311"	"unknown"
"Vireo bellii Audubon, 1844"	"-101.539326"	"17.628191"	"gbif"	2023-01-05	"4014931942"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.714877"	"19.223613"	"gbif"	2023-01-06	"4015006240"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.713293"	"19.226216"	"gbif"	2023-01-06	"4014833192"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.032722"	"18.898326"	"gbif"	2023-01-06	"4015106420"	"unknown"
"Vireo bellii Audubon, 1844"	"-106.443466"	"23.299564"	"gbif"	2023-01-04	"4015126543"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.858194"	"21.481058"	"gbif"	2023-01-14	"4018192176"	"unknown"
"Vireo bellii Audubon, 1844"	"-80.2325"	"26.632298"	"gbif"	2023-01-11	"4018248288"	"unknown"
"Vireo bellii Audubon, 1844"	"-118.237829"	"34.100435"	"gbif"	2023-01-26	"4028754854"	"unknown"
"Vireo bellii Audubon, 1844"	"-80.232702"	"26.633362"	"gbif"	2023-01-08	"4034635052"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.285204"	"20.731838"	"gbif"	2023-01-20	"4046657700"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.713151"	"19.22652"	"gbif"	2023-01-23	"4046432365"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.733001"	"19.340812"	"gbif"	2023-01-24	"4067200715"	"unknown"
"Vireo bellii Audubon, 1844"	"-118.2359"	"34.0987"	"gbif"	2023-01-26	"4038150500"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.159594"	"15.730586"	"gbif"	2023-02-01	"4029118079"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.159765"	"15.730469"	"gbif"	2023-02-01	"4029317020"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.159842"	"15.730357"	"gbif"	2023-02-01	"4029144077"	"unknown"
"Vireo bellii Audubon, 1844"	"-101.539326"	"17.628191"	"gbif"	2023-02-04	"4029091910"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.157966"	"15.731237"	"gbif"	2023-02-01	"4039165014"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.36903"	"20.777925"	"gbif"	2023-02-19	"4039165901"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.826659"	"20.603256"	"gbif"	2023-02-06	"4054809642"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.368897"	"20.777822"	"gbif"	2023-02-19	"4075630101"	"unknown"
"Vireo bellii Audubon, 1844"	"-105.283387"	"21.543094"	"gbif"	2023-02-27	"4080910093"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.826903"	"20.602358"	"gbif"	2023-02-12	"4145658906"	"unknown"
"Vireo bellii Audubon, 1844"	"-108.61348"	"25.664057"	"gbif"	2023-03-07	"4063118705"	"unknown"
"Vireo bellii Audubon, 1844"	"-105.502828"	"28.258455"	"gbif"	2023-03-24	"4091917530"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.53772"	"28.859831"	"gbif"	2023-03-13	"4075977529"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.53772"	"28.859831"	"gbif"	2023-03-13	"4075967565"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.195808"	"34.024078"	"gbif"	2023-03-26	"4076327681"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.047547"	"32.446751"	"gbif"	2023-03-27	"4075880810"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.932117"	"32.359317"	"gbif"	2023-03-26	"4076310867"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.50882"	"26.538406"	"gbif"	2023-03-28	"4076315972"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.730482"	"32.282043"	"gbif"	2023-03-28	"4076302012"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.955186"	"32.233315"	"gbif"	2023-03-29	"4076323072"	"unknown"
"Vireo bellii Audubon, 1844"	"-101.886294"	"18.830492"	"gbif"	2023-03-27	"4076080722"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.68906"	"32.506964"	"gbif"	2023-03-31	"4080462804"	"unknown"
"Vireo bellii Audubon, 1844"	"-99.011174"	"18.428968"	"gbif"	2023-03-04	"4138176487"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.930344"	"32.796036"	"gbif"	2023-03-28	"4080849606"	"unknown"
"Vireo bellii Audubon, 1844"	"-118.2359"	"34.0987"	"gbif"	2023-03-28	"4079735809"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.041647"	"31.609353"	"gbif"	2023-04-01	"4076149466"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.727223"	"33.997572"	"gbif"	2023-04-01	"4121058508"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.159178"	"33.278732"	"gbif"	2023-04-02	"4076049685"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.063495"	"32.554384"	"gbif"	2023-04-02	"4076168820"	"unknown"
"Vireo bellii Audubon, 1844"	"-99.801547"	"30.444095"	"gbif"	2023-04-04	"4080545703"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.996327"	"29.896465"	"gbif"	2023-04-01	"4080925733"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.079005"	"33.057215"	"gbif"	2023-04-07	"4091939553"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.547475"	"32.057783"	"gbif"	2023-04-09	"4091853594"	"unknown"
"Vireo bellii arizonae Ridgway, 1903"	"-111.023151"	"32.278226"	"gbif"	2023-04-04	"4081000365"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.482752"	"33.893117"	"gbif"	2023-04-08	"4080914402"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.783495"	"32.243201"	"gbif"	2023-04-09	"4080894399"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.372278"	"33.70268"	"gbif"	2023-04-10	"4126674239"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.227014"	"33.385882"	"gbif"	2023-04-10	"4129747487"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.111192"	"33.878896"	"gbif"	2023-04-07	"4121221487"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.443476"	"33.906803"	"gbif"	2023-04-12	"4091782812"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.667626"	"33.558425"	"gbif"	2023-04-13	"4091628904"	"unknown"
"Vireo bellii Audubon, 1844"	"-99.154322"	"23.726296"	"gbif"	2023-04-01	"4091519914"	"unknown"
"Vireo bellii Audubon, 1844"	"-98.02501"	"30.50805"	"gbif"	2023-04-13	"4091828117"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.380206"	"33.112854"	"gbif"	2023-04-10	"4091526194"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-118.292125"	"34.145368"	"gbif"	2023-04-15	"4096467660"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.595061"	"33.902648"	"gbif"	2023-04-15	"4096535656"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.140099"	"32.773087"	"gbif"	2023-04-16	"4091648419"	"unknown"
"Vireo bellii Audubon, 1844"	"-106.864561"	"33.808357"	"gbif"	2023-04-16	"4091560411"	"unknown"
"Vireo bellii Audubon, 1844"	"-106.864615"	"33.808468"	"gbif"	2023-04-16	"4091926379"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.51403"	"33.052135"	"gbif"	2023-04-15	"4091735444"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.886413"	"31.740093"	"gbif"	2023-04-15	"4091485441"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.310752"	"32.953544"	"gbif"	2023-04-17	"4091766674"	"unknown"
"Vireo bellii Audubon, 1844"	"-98.025008"	"30.50798"	"gbif"	2023-04-17	"4091542767"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.020545"	"32.278813"	"gbif"	2023-04-18	"4096825753"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.042922"	"31.606138"	"gbif"	2023-04-18	"4096554869"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.206265"	"29.318115"	"gbif"	2023-04-20	"4096411034"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.794514"	"32.330057"	"gbif"	2023-04-20	"4096833014"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.233301"	"33.151883"	"gbif"	2023-04-22	"4096739311"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.34807"	"33.869718"	"gbif"	2023-04-22	"4096671413"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.159008"	"33.280144"	"gbif"	2023-04-23	"4096943491"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.188592"	"34.02348"	"gbif"	2023-04-23	"4096732546"	"unknown"
"Vireo bellii Audubon, 1844"	"-118.23585"	"34.098711"	"gbif"	2023-04-24	"4145323437"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.118845"	"32.439459"	"gbif"	2023-04-23	"4096888664"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.765803"	"33.783713"	"gbif"	2023-04-24	"4137683697"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.568949"	"34.050954"	"gbif"	2023-04-24	"4103039601"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.337663"	"30.613534"	"gbif"	2023-04-20	"4103160596"	"unknown"
"Vireo bellii Audubon, 1844"	"-102.967915"	"29.186113"	"gbif"	2023-04-24	"4103172622"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.155895"	"32.592271"	"gbif"	2023-04-24	"4102703713"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.065711"	"32.54999"	"gbif"	2023-04-24	"4102617739"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.113021"	"32.543369"	"gbif"	2023-04-24	"4102613731"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.564353"	"34.044002"	"gbif"	2023-04-20	"4103123765"	"unknown"
"Vireo bellii Audubon, 1844"	"-97.1162"	"32.97675"	"gbif"	2023-04-26	"4103168820"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.084763"	"32.556364"	"gbif"	2023-04-24	"4103183817"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.141636"	"32.423135"	"gbif"	2023-04-24	"4102565807"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.106029"	"32.563838"	"gbif"	2023-04-24	"4102627789"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-118.080118"	"34.089632"	"gbif"	2023-04-26	"4120958571"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.145946"	"32.610999"	"gbif"	2023-04-27	"4102707884"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.990994"	"32.714032"	"gbif"	2023-04-27	"4121205549"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.993355"	"32.648689"	"gbif"	2023-04-27	"4102614862"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.849586"	"32.68136"	"gbif"	2023-04-27	"4103164879"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.955925"	"32.695765"	"gbif"	2023-04-26	"4102722942"	"unknown"
"Vireo bellii Audubon, 1844"	"-98.366274"	"30.739201"	"gbif"	2023-04-28	"4129914568"	"unknown"
"Vireo bellii Audubon, 1844"	"-118.234264"	"34.085593"	"gbif"	2023-04-28	"4102648094"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.736111"	"33.979346"	"gbif"	2023-04-28	"4111749490"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.985919"	"33.36289"	"gbif"	2023-04-28	"4102674169"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.023529"	"32.27904"	"gbif"	2023-04-29	"4102762431"	"unknown"
"Vireo bellii Audubon, 1844"	"-111.02179"	"32.27929"	"gbif"	2023-04-15	"4102800407"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.611987"	"32.153255"	"gbif"	2023-04-29	"4102904587"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.187863"	"31.495649"	"gbif"	2023-04-29	"4103347578"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.179667"	"31.488342"	"gbif"	2023-04-29	"4102838636"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.062661"	"33.928007"	"gbif"	2023-04-30	"4102739889"	"unknown"
"Vireo bellii Audubon, 1844"	"-101.732696"	"33.535441"	"gbif"	2023-04-29	"4103331858"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-118.069976"	"34.191339"	"gbif"	2023-04-29	"4102793943"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.946156"	"33.626015"	"gbif"	2023-04-29	"4121247587"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.085113"	"32.820131"	"gbif"	2023-04-29	"4129740589"	"unknown"
"Vireo bellii Audubon, 1844"	"-99.844037"	"33.377254"	"gbif"	2023-04-30	"4129901571"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.568905"	"34.050904"	"gbif"	2023-04-24	"4102846101"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.176081"	"32.521034"	"gbif"	2023-04-27	"4103236210"	"unknown"
"Vireo bellii Audubon, 1844"	"-96.131699"	"19.132944"	"gbif"	2023-04-29	"4102831148"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.846567"	"31.497783"	"gbif"	2023-04-25	"4103450357"	"unknown"
"Vireo bellii Audubon, 1844"	"-109.268653"	"31.365072"	"gbif"	2023-04-28	"4103428379"	"unknown"
"Vireo bellii Audubon, 1844"	"-104.991447"	"30.665425"	"gbif"	2023-04-28	"4111759736"	"unknown"
"Vireo bellii Audubon, 1844"	"-109.260884"	"31.34323"	"gbif"	2023-04-13	"4103059455"	"unknown"
"Vireo bellii Audubon, 1844"	"-105.42777"	"28.403247"	"gbif"	2023-04-29	"4165501367"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.655105"	"33.987622"	"gbif"	2023-04-30	"4111675050"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.570061"	"34.049938"	"gbif"	2023-04-24	"4120914696"	"unknown"
"Vireo bellii Audubon, 1844"	"-117.858413"	"33.839565"	"gbif"	2023-04-28	"4111693286"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-117.203385"	"34.124643"	"gbif"	2023-04-21	"4116436452"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.717928"	"32.537773"	"gbif"	2023-04-02	"4111910709"	"unknown"
"Vireo bellii Audubon, 1844"	"-109.27219"	"31.34168"	"gbif"	2023-04-13	"4112175241"	"unknown"
"Vireo bellii Audubon, 1844"	"-109.27212"	"31.3415"	"gbif"	2023-04-13	"4111863165"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.884722"	"31.740124"	"gbif"	2023-04-28	"4116337169"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.663862"	"29.807324"	"gbif"	2023-04-29	"4121301531"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.56892"	"34.050828"	"gbif"	2023-04-24	"4116605463"	"unknown"
"Vireo bellii Audubon, 1844"	"-100.452733"	"29.610385"	"gbif"	2023-04-29	"4121174483"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.986075"	"31.854555"	"gbif"	2023-04-25	"4121414286"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.846308"	"31.497476"	"gbif"	2023-04-22	"4126896360"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.568975"	"34.04985"	"gbif"	2023-04-23	"4127044807"	"unknown"
"Vireo bellii Audubon, 1844"	"-116.551452"	"33.760938"	"gbif"	2023-04-12	"4138260897"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.135895"	"29.27244"	"gbif"	2023-04-01	"4138606351"	"unknown"
"Vireo bellii Audubon, 1844"	"-97.884189"	"26.140034"	"gbif"	2023-04-22	"4138536997"	"unknown"
"Vireo bellii Audubon, 1844"	"-108.600091"	"32.837351"	"gbif"	2023-04-17	"4171392700"	"unknown"
"Vireo bellii Audubon, 1844"	"-99.799125"	"30.445233"	"gbif"	2023-04-13	"4405055123"	"unknown"
"Vireo bellii arizonae Ridgway, 1903"	"-110.853411"	"31.495281"	"gbif"	2023-04-25	"4414220672"	"unknown"
"Vireo bellii arizonae Ridgway, 1903"	"-110.848603"	"31.495744"	"gbif"	2023-04-25	"4414329833"	"unknown"
"Vireo bellii arizonae Ridgway, 1903"	"-110.886977"	"31.740827"	"gbif"	2023-04-26	"4414280933"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.903744"	"32.428667"	"gbif"	2023-04-03	"4090485822"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.910115"	"32.425011"	"gbif"	2023-04-03	"4090818625"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.826769"	"32.198524"	"gbif"	2023-04-03	"4089827054"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.91583"	"32.426653"	"gbif"	2023-04-02	"4090469115"	"unknown"
"Vireo bellii Audubon, 1844"	"-103.729784"	"25.455026"	"gbif"	2023-05-01	"4111770706"	"unknown"
"Vireo bellii Audubon, 1844"	"-110.886922"	"31.74082"	"gbif"	2023-05-02	"4102921625"	"unknown"
"Vireo bellii pusillus Coues, 1866"	"-116.914724"	"32.621752"	"gbif"	2023-05-02	"4103467603"	"unknown"
"Vireo bellii Audubon, 1844"	"-97.117635"	"32.786858"	"gbif"	2023-05-03	"4111612960"	"unknown"
