"name"	"longitude"	"latitude"	"subspecies"	"medius"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-80.232464	26.631688	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.539326	17.628191	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.714877	19.223613	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.713293	19.226216	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.032722	18.898326	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.443466	23.299564	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.858194	21.481058	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-80.2325	26.632298	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.237829	34.100435	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-80.232702	26.633362	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.285204	20.731838	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.713151	19.22652	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.733001	19.340812	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.2359	34.0987	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.159594	15.730586	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.159765	15.730469	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.159842	15.730357	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.157966	15.731237	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.36903	20.777925	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.826659	20.603256	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.368897	20.777822	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.283387	21.543094	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.826903	20.602358	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-108.61348	25.664057	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.502828	28.258455	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.53772	28.859831	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.195808	34.024078	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.047547	32.446751	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.932117	32.359317	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.50882	26.538406	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.730482	32.282043	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.955186	32.233315	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-101.886294	18.830492	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.68906	32.506964	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.011174	18.428968	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.930344	32.796036	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.041647	31.609353	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.727223	33.997572	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.159178	33.278732	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.063495	32.554384	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.801547	30.444095	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.996327	29.896465	"unknown"	0	0	"none"
