assigned,longitude,latitude
arizonae,-104.03,18.9
arizonae,-106.44,23.3
arizonae,-104.73,19.34
arizonae,-100.54,28.86
arizonae,-99.01,18.43
arizonae,-116.73,34
arizonae,-101,29.9
arizonae,-110.55,32.06
arizonae,-111.02,32.28
arizonae,-117.38,33.11
arizonae,-117.14,32.77
arizonae,-117.35,33.87
arizonae,-116.57,34.05
arizonae,-118.08,34.09
arizonae,-117.74,33.98
arizonae,-101.73,33.54
arizonae,-104.99,30.67
arizonae,-100.66,29.81
arizonae,-97.78,32.06
arizonae,-116.45,32.1
arizonae,-118.13,34
arizonae,-100.02,29.69
arizonae,-118.24,34.06
arizonae,-111.04,31.61
arizonae,-100.57,30.25
arizonae,-118.13,33.62
arizonae,-95.87,38.5
arizonae,-117.85,36.7
arizonae,-93.68,32.44
arizonae,-96.56,38.42
arizonae,-96.42,36.85
arizonae,-112.8,32.02
arizonae,-100.3,29.95
arizonae,-110.75,29.21
arizonae,-96.89,33.31
arizonae,-116.14,31.4
arizonae,-97.89,30.34
arizonae,-98,38.68
arizonae,-96.58,39.09
arizonae,-94.57,37.52
arizonae,-97.55,37.5
arizonae,-96.55,36.25
arizonae,-104.47,32.11
arizonae,-118.08,34.19
arizonae,-98.08,30.2
arizonae,-109.84,32.82
arizonae,-118.82,34.04
arizonae,-100.21,25.79
arizonae,-116.92,32.97
arizonae,-97.13,32.78
arizonae,-97.36,30.71
arizonae,-107.21,24.86
arizonae,-105.29,21.53
arizonae,-109.24,26.4
arizonae,-105.25,20.82
arizonae,-98.65,16.43
arizonae,-89.88,30.06
arizonae,-103.7,19.28
arizonae,-114.61,32.73
arizonae,-104.56,19.16
arizonae,-115.79,32.15
arizonae,-110.09,27.56
arizonae,-106.59,23.68
arizonae,-104.89,21.38
arizonae,-105.3,22.21
arizonae,-105.53,20.77
arizonae,-105.33,20.93
arizonae,-104.96,21.5
arizonae,-106.36,23.42
arizonae,-105.53,20.31
arizonae,-103.83,19.39
arizonae,-105.46,20.84
arizonae,-97.63,16.09
arizonae,-111.35,25.92
arizonae,-96.33,19.49
arizonae,-89.55,14.34
arizonae,-95.02,16.33
arizonae,-108.91,26.91
arizonae,-95.57,15.96
arizonae,-96.94,15.79
arizonae,-94.87,16.59
arizonae,-105.44,20.49
arizonae,-109.78,23.33
arizonae,-94.95,16.54
arizonae,-109.17,26.47
arizonae,-105.02,21.66
arizonae,-105.15,20.77
arizonae,-99.85,16.86
arizonae,-105.26,19.68
arizonae,-108.62,26.42
arizonae,-98.94,18.54
arizonae,-108.94,26.24
arizonae,-96.07,15.82
arizonae,-105.35,20.34
arizonae,-105.14,21.64
arizonae,-99.1,19
arizonae,-105.2,21.44
arizonae,-110.12,23.44
arizonae,-111.73,33.36
arizonae,-109.87,22.92
arizonae,-89.76,29.57
arizonae,-103.22,20.3
arizonae,-90.75,14.41
arizonae,-95.9,18.1
arizonae,-98.21,19.01
arizonae,-105.34,19.98
arizonae,-111.11,27.97
arizonae,-97.81,17.66
arizonae,-93.09,16.81
arizonae,-109.86,23.56
arizonae,-105.66,20.33
arizonae,-95.15,16.5
