assigned,longitude,latitude
nuttalli,-122.58,38.22
nuttalli,-121.59,38.73
nuttalli,-121.82,37.97
nuttalli,-122.6,38.6
nuttalli,-122.3,38.01
nuttalli,-121.22,38.63
nuttalli,-122.49,37.5
nuttalli,-119.3,36.19
nuttalli,-119.67,37
nuttalli,-122,37.92
nuttalli,-119.69,38.86
nuttalli,-121.55,36.7
nuttalli,-122.62,38.93
nuttalli,-121.46,38.58
nuttalli,-121.41,38.93
nuttalli,-122.51,38.03
nuttalli,-121.65,37.17
nuttalli,-121.6,36.9
nuttalli,-119.85,36.82
nuttalli,-121.71,38.24
nuttalli,-122.06,37.09
nuttalli,-121.75,37.72
nuttalli,-121.69,38.65
nuttalli,-121.31,37.8
nuttalli,-121.82,38.44
nuttalli,-121.14,37.73
nuttalli,-122.19,38.12
nuttalli,-122.39,38.42
nuttalli,-120.87,37.52
nuttalli,-119.73,36.88
nuttalli,-121.88,37.67
nuttalli,-121.34,38.76
nuttalli,-120.94,36.99
nuttalli,-121.03,38.88
nuttalli,-121.92,38.76
nuttalli,-122.39,38.97
nuttalli,-122.79,38.51
nuttalli,-121.55,37.12
nuttalli,-123.06,38.31
nuttalli,-121.15,36.49
nuttalli,-122.1,38.02
nuttalli,-121.97,37.28
nuttalli,-121.54,36.99
nuttalli,-122.09,37.44
nuttalli,-121.67,36.62
nuttalli,-122.99,38
nuttalli,-122.23,37.06
nuttalli,-120.37,37.98
nuttalli,-121.05,37.63
nuttalli,-122.34,38.14
nuttalli,-121.9,37.77
nuttalli,-120.2,36.47
nuttalli,-121.3,38.14
nuttalli,-119.21,36.64
nuttalli,-119.4,36.62
nuttalli,-122.14,37.79
nuttalli,-123.24,38.51
nuttalli,-122.09,37.24
nuttalli,-121.02,37.1
nuttalli,-120.84,36.54
nuttalli,-121.91,36.42
nuttalli,-121.37,36.82
nuttalli,-120.01,37.26
nuttalli,-120.2,37.44
nuttalli,-121.18,38.74
nuttalli,-121.96,38.12
nuttalli,-122.48,38.54
nuttalli,-121.1,38.52
nuttalli,-121.8,37.26
nuttalli,-122.08,36.95
nuttalli,-123.42,38.67
nuttalli,-119.64,38.33
nuttalli,-119.88,38.59
nuttalli,-121.5,38.67
nuttalli,-121.63,38.55
nuttalli,-119.67,36.78
nuttalli,-122.59,38.47
nuttalli,-122.47,38.12
nuttalli,-121.77,38.85
nuttalli,-121.45,38.27
nuttalli,-122.5,37.94
nuttalli,-122.03,38.49
nuttalli,-122.69,38.42
nuttalli,-120.8,37.2
nuttalli,-121.57,38.35
nuttalli,-121.42,38.45
nuttalli,-122.51,38.37
nuttalli,-121.85,37.39
nuttalli,-122.43,37.42
nuttalli,-119.78,36.3
nuttalli,-121.94,36.63
nuttalli,-121.84,36.29
nuttalli,-120.49,38.62
nuttalli,-121.73,36.82
nuttalli,-120.66,37.82
nuttalli,-120.64,36.99
nuttalli,-121.44,38.16
nuttalli,-122.58,37.86
nuttalli,-121.24,38.54
nuttalli,-122.98,38.38
nuttalli,-120.62,38.25
nuttalli,-120.69,38.65
nuttalli,-120.39,37.42
nuttalli,-120.84,36.72
nuttalli,-120.09,37.4
nuttalli,-122.36,37.67
nuttalli,-122.28,38.24
nuttalli,-121.11,38.95
nuttalli,-120.62,37.17
nuttalli,-121.54,36.82
nuttalli,-121.32,38.33
nuttalli,-121.76,38.53
nuttalli,-119.61,36.52
nuttalli,-119.99,37.03
nuttalli,-120.54,37.62
nuttalli,-122.03,38.35
nuttalli,-122.34,38.33
nuttalli,-121.71,37.33
nuttalli,-121.77,37.63
nuttalli,-122.41,38.86
nuttalli,-121.22,37.06
nuttalli,-121.14,37.17
nuttalli,-121.79,38.06
nuttalli,-121.55,39
nuttalli,-119.6,36.66
nuttalli,-122.27,37.32
nuttalli,-121.98,37.49
nuttalli,-121.08,38.61
nuttalli,-120.32,37.52
nuttalli,-121.02,38.74
nuttalli,-119.96,37.45
nuttalli,-121.98,38.25
nuttalli,-122.09,37.55
nuttalli,-119.73,37.41
nuttalli,-122.38,37.93
nuttalli,-121.32,37.7
nuttalli,-122.82,38.67
nuttalli,-122.43,38.23
nuttalli,-121.28,38.85
nuttalli,-121.21,37.62
nuttalli,-120.65,36.63
nuttalli,-122.15,38.22
nuttalli,-119.77,38.96
nuttalli,-121.69,38
nuttalli,-120.78,37.05
nuttalli,-119.01,38.21
nuttalli,-122.52,37.59
nuttalli,-119.63,37.72
nuttalli,-122.67,38.01
nuttalli,-122.13,37.67
nuttalli,-122.27,37.77
nuttalli,-120.15,38.8
nuttalli,-122.22,37.47
nuttalli,-122.18,37.38
nuttalli,-122.31,37.41
nuttalli,-121.98,37.58
nuttalli,-121.53,37.32
nuttalli,-121.81,36.75
nuttalli,-121.66,38.11
nuttalli,-121.23,37.91
nuttalli,-122.62,38.75
nuttalli,-121.06,36.23
nuttalli,-119.78,36.68
nuttalli,-119.8,38.49
nuttalli,-121.64,37.87
nuttalli,-120.86,38.89
nuttalli,-119.97,38.95
nuttalli,-119.39,37.88
nuttalli,-119.03,37.18
nuttalli,-119.16,38.99
nuttalli,-120.47,37.31
nuttalli,-119.05,38.02
nuttalli,-119.72,37.09
nuttalli,-122.71,37.91
nuttalli,-119.1,37.29
nuttalli,-121.56,36.38
nuttalli,-121.43,37.74
nuttalli,-119.78,37.67
nuttalli,-120.44,37.52
nuttalli,-119.56,37.81
nuttalli,-119.11,37.91
nuttalli,-121.01,36.13
nuttalli,-121.32,36.41
nuttalli,-121.81,36.63
nuttalli,-120.11,37.76
nuttalli,-120.62,38.75
nuttalli,-121.66,37.6
nuttalli,-119.03,36.69
nuttalli,-120.61,36.16
nuttalli,-119.03,36.07
nuttalli,-119.95,38.51
nuttalli,-120.8,38.39
nuttalli,-119.28,38.45
nuttalli,-120.99,39
nuttalli,-121.97,37.37
nuttalli,-119.01,37.62
nuttalli,-120.07,38.7
nuttalli,-119.07,37.79
nuttalli,-119.85,37.88
nuttalli,-120.17,38.9
nuttalli,-121.12,36.59
nuttalli,-120.55,38.46
nuttalli,-123.33,38.9
nuttalli,-121.9,37.2
nuttalli,-122.9,38.76
