assigned,longitude,latitude
gambelii,-121.27,38.84
gambelii,-121.59,38.73
gambelii,-117.78,34.14
gambelii,-121.82,37.97
gambelii,-112.31,34.6
gambelii,-114,35.19
gambelii,-116.84,33.08
gambelii,-120.97,35.24
gambelii,-117.02,32.93
gambelii,-116.57,34.05
gambelii,-115.9,33.87
gambelii,-118.52,34.03
gambelii,-122.3,38.01
gambelii,-119.42,35.05
gambelii,-117.25,32.89
gambelii,-119.3,36.19
gambelii,-116.19,33.55
gambelii,-114.16,34.26
gambelii,-118.62,34.5
gambelii,-120.97,36.61
gambelii,-114.77,32.5
gambelii,-122.21,38.12
gambelii,-118.25,46.08
gambelii,-122.22,37.5
gambelii,-122.39,37.92
gambelii,-116.59,43.68
gambelii,-118.38,33.86
gambelii,-118.98,34.34
gambelii,-118.86,35.44
gambelii,-111.95,33.59
gambelii,-121.15,39.17
gambelii,-119.69,38.86
gambelii,-121.55,36.7
gambelii,-122.98,45.5
gambelii,-122.61,38.92
gambelii,-121.76,38.54
gambelii,-116.24,33.03
gambelii,-116.21,33.34
gambelii,-121.35,38.54
gambelii,-120.63,35.13
gambelii,-121.98,37.96
gambelii,-124.06,46.33
gambelii,-121.07,37.02
gambelii,-117.71,33.46
gambelii,-121.41,38.93
gambelii,-122.5,45.53
gambelii,-118.18,34.07
gambelii,-124.79,49.49
gambelii,-120.57,35.6
gambelii,-122.98,44.64
gambelii,-121.81,37.28
gambelii,-119.26,34.24
gambelii,-125.91,49.15
gambelii,-114.14,36.62
gambelii,-118.47,34.17
gambelii,-121.6,36.9
gambelii,-121.83,36.89
gambelii,-122.71,47.08
gambelii,-117.72,33.55
gambelii,-122.69,38.33
gambelii,-122.38,37.67
gambelii,-119.28,34.34
gambelii,-119.96,34.61
gambelii,-119.72,34.42
gambelii,-123.98,45.11
gambelii,-121.71,38.24
gambelii,-121.34,39.11
gambelii,-119.8,35.56
gambelii,-117.03,34.14
gambelii,-122.18,48.05
gambelii,-122.06,37.09
gambelii,-118.36,34.39
gambelii,-123.38,43.23
gambelii,-117.88,33.89
gambelii,-112.41,34.64
gambelii,-121.75,39.11
gambelii,-118.83,34.3
gambelii,-122.45,48.56
gambelii,-121.14,37.73
gambelii,-122.56,38.57
gambelii,-122.52,45.29
gambelii,-122.39,38.42
gambelii,-119.6,35.75
gambelii,-112.49,33.58
gambelii,-121.32,45.12
gambelii,-121.82,36.66
gambelii,-111.74,33.36
gambelii,-116.9,43.73
gambelii,-117.93,33.97
gambelii,-111.79,33.68
gambelii,-115.98,42.95
gambelii,-122.41,37.26
gambelii,-121.47,38.42
gambelii,-122.07,36.95
gambelii,-120.94,36.99
gambelii,-116.4,33.72
gambelii,-117.32,34.18
gambelii,-120.02,37.35
gambelii,-121.03,38.88
gambelii,-120.61,37.18
gambelii,-114.93,36.1
gambelii,-117.3,34.4
gambelii,-117.21,33.94
gambelii,-122.48,45.44
gambelii,-118.17,34.2
gambelii,-114.54,36.51
gambelii,-117.17,34.51
gambelii,-122.79,38.51
gambelii,-115.46,36.07
gambelii,-115.68,43.08
gambelii,-118.94,34.04
gambelii,-118.23,34.36
