assigned,longitude,latitude
leucophrys,-82.76,39.65
leucophrys,-77.1,39.2
leucophrys,-86.95,41.14
leucophrys,-80.97,43.35
leucophrys,-75.14,40.34
leucophrys,-79.39,39.38
leucophrys,-88.38,41.37
leucophrys,-75.8,39.31
leucophrys,-85.23,41.16
leucophrys,-80.18,41.31
leucophrys,-83.43,39.19
leucophrys,-77.6,39.03
leucophrys,-74.63,40.55
leucophrys,-81.11,40.97
leucophrys,-83.25,40
leucophrys,-77.58,39.44
leucophrys,-80.5,43.52
leucophrys,-81.22,43.04
leucophrys,-88.3,42.22
leucophrys,-88.35,41.23
leucophrys,-77.15,39.08
leucophrys,-81.98,40.14
leucophrys,-86.94,40.48
leucophrys,-88.73,43.2
leucophrys,-85.95,42.09
leucophrys,-83.56,42.15
leucophrys,-75.22,40.12
leucophrys,-78.79,42.68
leucophrys,-88.43,41.89
leucophrys,-75.98,39.23
leucophrys,-88.31,41.7
leucophrys,-76.73,43.02
leucophrys,-88.14,41.37
leucophrys,-84.4,39.37
leucophrys,-79.71,44.36
leucophrys,-79.24,40.25
leucophrys,-77.43,39.47
leucophrys,-79.82,40.77
leucophrys,-72.64,41.85
leucophrys,-84.32,39.3
leucophrys,-82.62,46.37
leucophrys,-78.03,41.42
leucophrys,-76.77,39.19
leucophrys,-75.96,39.77
leucophrys,-75.92,40.93
leucophrys,-84.5,39.01
leucophrys,-80.01,45.35
leucophrys,-79.31,43.66
leucophrys,-84.22,39.85
leucophrys,-87.67,44.07
leucophrys,-90.41,42.61
leucophrys,-88.33,42.86
leucophrys,-86.88,40.39
leucophrys,-88.11,43.18
leucophrys,-79.5,41.15
leucophrys,-76.03,45.65
leucophrys,-76.32,43.28
leucophrys,-87.24,41.56
leucophrys,-85.74,46.19
leucophrys,-88.01,44.51
leucophrys,-80.07,42.1
leucophrys,-87.38,41.56
leucophrys,-82.77,39.99
leucophrys,-79.39,43.78
leucophrys,-75.98,44.87
leucophrys,-77.29,43.97
leucophrys,-77.16,43.85
leucophrys,-81.4,43.12
leucophrys,-85.66,43.04
leucophrys,-79.48,44.75
leucophrys,-74.26,41.9
leucophrys,-78.21,44.2
leucophrys,-84.9,45.4
leucophrys,-82.86,42.17
leucophrys,-76.87,43.95
leucophrys,-81.74,46.2
leucophrys,-86.3,39.86
leucophrys,-77.73,43.99
leucophrys,-85.93,39.72
leucophrys,-78.95,44.09
leucophrys,-89.43,43.05
leucophrys,-84.16,43.31
leucophrys,-76.18,43.85
leucophrys,-84.44,42.37
leucophrys,-74.87,40.94
leucophrys,-82.77,43.09
leucophrys,-79.24,43.89
leucophrys,-81.73,39.83
leucophrys,-79.42,40.85
leucophrys,-79.59,43.65
leucophrys,-73.01,44.48
leucophrys,-75.83,44.92
leucophrys,-81.3,44.73
leucophrys,-76.1,44.9
leucophrys,-87.74,40.14
leucophrys,-76.66,41.1
leucophrys,-75.71,41.58
leucophrys,-77.41,39.02
leucophrys,-79.24,43.77
leucophrys,-72.37,43.81
leucophrys,-79.46,46.38
leucophrys,-89.22,44.31
leucophrys,-76.24,45.15
leucophrys,-89.01,42.27
leucophrys,-74.48,40.71
leucophrys,-79.22,43.24
leucophrys,-79.7,43.19
leucophrys,-79,45.39
leucophrys,-76.55,42.94
leucophrys,-84.99,45.2
leucophrys,-81.5,41.42
leucophrys,-77.33,44.46
leucophrys,-77.86,44.82
leucophrys,-83.98,46.19
leucophrys,-80.26,42.88
leucophrys,-78.85,43
leucophrys,-89.66,42.28
leucophrys,-88.08,41.74
leucophrys,-84.79,39.25
leucophrys,-79.93,43.21
leucophrys,-87.74,43.67
leucophrys,-83.32,42.95
leucophrys,-78.66,43.91
leucophrys,-78.8,43.87
leucophrys,-79.81,44.16
leucophrys,-76.35,45.75
leucophrys,-80.04,43.63
leucophrys,-87.77,41.88
leucophrys,-83.7,41.71
leucophrys,-78.75,42.78
leucophrys,-75.62,45.3
leucophrys,-89.81,43.03
leucophrys,-81.28,45.12
leucophrys,-74.74,41.24
leucophrys,-83.14,41.51
leucophrys,-81.09,46.43
leucophrys,-80.8,44
leucophrys,-78.8,45.46
leucophrys,-80.53,45.98
leucophrys,-78.7,45.58
leucophrys,-82.51,42.04
leucophrys,-81.53,39.17
leucophrys,-90.69,42.57
leucophrys,-76.9,43.29
leucophrys,-83.55,46.26
leucophrys,-76.62,44.18
leucophrys,-84.79,43.6
leucophrys,-84.42,46.42
leucophrys,-81.95,42.57
leucophrys,-80.05,43.26
leucophrys,-82.63,40.36
leucophrys,-77.01,40.93
leucophrys,-77.24,39.71
leucophrys,-81.7,40.45
leucophrys,-84.75,42.52
leucophrys,-79.4,43.16
leucophrys,-84.58,39.37
leucophrys,-75.66,40.73
leucophrys,-74.45,40.82
leucophrys,-88.23,41.31
leucophrys,-82.34,43
leucophrys,-76.92,44.21
leucophrys,-75.84,40.68
leucophrys,-75.24,39.55
leucophrys,-87.88,42.09
leucophrys,-77.81,42.89
leucophrys,-79.58,40.86
leucophrys,-81.62,40.95
leucophrys,-80.18,41.09
leucophrys,-84.69,39.3
leucophrys,-83.4,46.42
leucophrys,-79.3,41.2
leucophrys,-83.95,46.06
leucophrys,-75.17,44.6
leucophrys,-80.24,45.36
leucophrys,-84.04,46.5
leucophrys,-72.8,43.47
leucophrys,-78.54,45.02
leucophrys,-87.88,43.4
leucophrys,-80.32,43.33
leucophrys,-80.55,43.43
leucophrys,-86.07,39.69
leucophrys,-88,42.03
leucophrys,-76.88,45.62
leucophrys,-74.11,40.79
leucophrys,-88.36,42.07
leucophrys,-83.45,44.25
leucophrys,-75.15,40.04
leucophrys,-78.5,45.58
leucophrys,-77.58,44.22
leucophrys,-79.19,45.05
leucophrys,-76.42,44.24
leucophrys,-73.06,44.77
leucophrys,-80.54,43.23
leucophrys,-83.76,39.37
leucophrys,-75.49,45.03
leucophrys,-80.33,43.73
leucophrys,-81.71,43.8
leucophrys,-76.12,45.06
leucophrys,-80.38,45.6
leucophrys,-79.36,43.02
leucophrys,-83.22,43.02
leucophrys,-82.18,41.48
leucophrys,-82.71,41.54
leucophrys,-75.09,45.6
leucophrys,-86.38,42.16
leucophrys,-79.19,45.34
leucophrys,-79.96,42.82
