"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"gambelii"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.04	34.03	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.58	38.22	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.52	38.61	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.44	33.61	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.85	36.92	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.27	38.84	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.29	33.78	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.47	34.18	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.81	39.53	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.29	33.77	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.71	38.18	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-125.9	49.15	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.94	36.63	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.52	38.7	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.59	38.73	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.95	34.11	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.45	37.48	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.78	34.14	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.05	33.7	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.82	37.97	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.41	37.94	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.86	45.2	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.31	34.6	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.75	37.94	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.04	36.96	"unknown"	0	1	1	"gambelii"
