"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.16	31.51	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.93	35.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.81	40.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.5	31.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.44	33.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.09	39.49	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.29	33.77	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.11	28.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.39	33.77	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.89	33.63	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.75	33.74	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.12	32.98	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.86	45.2	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-103.72	30.96	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.75	32.75	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.5	37.76	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.31	34.6	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.76	39.65	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.69	45.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114	35.19	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.06	49.02	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.97	29.79	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.42	36.15	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.64	33.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.4	48.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.4	48.48	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.3	48.42	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.41	33.27	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.33	47.79	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.48	28.26	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.42	33.27	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.92	35.62	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.91	33.5	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-111.99	33.36	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117	43.82	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.34	41.39	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	41.23	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.39	41.25	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.22	41.38	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.29	41.37	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.64	24.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.78	30.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-77.1	39.2	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.9	33.87	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.03	30.38	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.18	40.04	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.12	38.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-94.15	38.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.44	28.29	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.06	34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-82.42	29.78	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.74	32.37	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.36	36.44	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-86.62	30.48	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-109.73	31.56	"unknown"	0	0	0	"none"
