"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.15799	31.513514	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.926448	35.549791	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.043488	34.034705	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.582649	38.223948	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.518148	38.610515	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-104.811277	40.440534	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.501244	31.466873	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.439133	33.605133	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.852417	36.916778	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.09177	39.493554	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.274189	38.836806	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.439137	33.605133	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.291007	33.783605	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.472046	34.177282	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.814269	39.529756	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.289914	33.772918	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.708829	38.182746	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-125.901399	49.154213	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.108873	28.357815	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-98.387752	33.770952	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.93995	36.626392	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.517551	38.703638	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.593101	38.733495	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.887468	33.63462	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.752058	33.743623	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.945663	34.112953	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.115337	32.978964	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.446254	37.476946	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.781835	34.135808	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.048709	33.698931	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.823817	37.971029	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.410367	37.941678	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.857115	45.203221	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-103.716623	30.95612	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-103.716537	30.956194	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-103.721258	30.957058	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-100.748064	32.748949	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.495094	37.755683	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-112.307056	34.603403	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.754484	37.936282	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.044795	36.964265	"unknown"	0	0	"none"
