assigned,longitude,latitude
nuttalli,-119.81,39.53
nuttalli,-121.59,38.73
nuttalli,-117.95,34.11
nuttalli,-121.82,37.97
nuttalli,-121.28,38.85
nuttalli,-120.97,35.24
nuttalli,-115.9,33.87
nuttalli,-115.36,36.44
nuttalli,-119.42,35.05
nuttalli,-116.92,32.77
nuttalli,-116.66,33.99
nuttalli,-117.24,32.67
nuttalli,-119.3,36.19
nuttalli,-118.12,34.79
nuttalli,-119.67,37
nuttalli,-116.19,33.55
nuttalli,-114.16,34.26
nuttalli,-115.89,33.51
nuttalli,-119.4,34.31
nuttalli,-115.45,32.57
nuttalli,-122.21,38.12
nuttalli,-118.25,46.08
nuttalli,-116.9,32.87
nuttalli,-118.38,33.86
nuttalli,-118.98,34.34
nuttalli,-117.04,32.84
nuttalli,-111.95,33.59
nuttalli,-121.15,39.17
nuttalli,-119.69,38.86
nuttalli,-121.55,36.7
nuttalli,-122.98,45.5
nuttalli,-117.14,32.63
nuttalli,-116.21,33.92
nuttalli,-116.24,33.03
nuttalli,-111.61,33.46
nuttalli,-121.98,37.96
nuttalli,-123.24,44.96
nuttalli,-121.98,38.25
nuttalli,-116.28,33.61
nuttalli,-117.22,34.57
nuttalli,-117.71,33.46
nuttalli,-121.41,38.93
nuttalli,-118.86,36.48
nuttalli,-122.5,45.53
nuttalli,-120.57,35.6
nuttalli,-115.13,35.99
nuttalli,-122.98,44.64
nuttalli,-118.41,33.75
nuttalli,-125.91,49.15
nuttalli,-117.21,34.42
nuttalli,-114.14,36.62
nuttalli,-117.46,33.3
nuttalli,-121.65,37.17
nuttalli,-121.6,36.9
nuttalli,-117.72,33.55
nuttalli,-122.69,38.33
nuttalli,-122.54,37.83
nuttalli,-119.72,34.42
nuttalli,-123.98,45.11
nuttalli,-121.71,38.24
nuttalli,-121.34,39.11
nuttalli,-117.23,33.83
nuttalli,-119.8,35.56
nuttalli,-117.88,33.88
nuttalli,-117.03,34.14
nuttalli,-122.06,37.09
nuttalli,-121.69,38.65
nuttalli,-123.38,43.23
nuttalli,-113.54,32.8
nuttalli,-116.42,33.02
nuttalli,-121.14,37.73
nuttalli,-123.28,44.11
nuttalli,-120.96,37.68
nuttalli,-122.14,38.02
nuttalli,-121.32,45.12
nuttalli,-121.22,37.06
nuttalli,-116.6,43.35
nuttalli,-116.86,33
nuttalli,-121.47,38.42
nuttalli,-116.12,32.77
nuttalli,-120.78,37.05
nuttalli,-115.71,33.08
nuttalli,-122.5,37.72
nuttalli,-111.71,33.25
nuttalli,-120.94,36.99
nuttalli,-117.32,34.18
nuttalli,-118.04,34.2
nuttalli,-120.02,37.35
nuttalli,-119.77,38.96
nuttalli,-121.22,38.65
nuttalli,-116.31,33.84
nuttalli,-124.28,43.45
nuttalli,-116.64,32.1
nuttalli,-116.66,31.72
nuttalli,-114.54,36.51
nuttalli,-121.21,37.62
nuttalli,-122.48,38.12
nuttalli,-119.48,49.83
nuttalli,-115.46,36.07
nuttalli,-118.23,34.36
nuttalli,-120.04,34.69
nuttalli,-116.92,33.7
nuttalli,-117.12,33.87
nuttalli,-112.77,32.09
nuttalli,-123.64,49.42
nuttalli,-116.55,33.76
nuttalli,-117.04,33.59
nuttalli,-121.68,37.71
nuttalli,-121.46,38.58
nuttalli,-116.87,34.29
nuttalli,-117.45,34.38
nuttalli,-117.39,33.68
nuttalli,-119.31,45.93
nuttalli,-122.09,37.44
nuttalli,-119.96,37.45
nuttalli,-124.19,40.7
nuttalli,-117.36,33.99
nuttalli,-118.04,33.71
nuttalli,-121.36,38.72
nuttalli,-119.96,35.99
nuttalli,-122.23,37.06
nuttalli,-119.29,34.41
nuttalli,-117.45,34.17
nuttalli,-117.13,32.91
nuttalli,-120.37,37.98
nuttalli,-116.1,36.28
nuttalli,-120.81,45.7
nuttalli,-122.85,43.97
nuttalli,-122.34,38.14
nuttalli,-121.9,37.77
nuttalli,-118.61,34.78
nuttalli,-118.16,34.47
nuttalli,-120.58,35.14
nuttalli,-119.87,36.82
nuttalli,-116.38,33.43
nuttalli,-116.67,31.86
nuttalli,-117.57,33.42
nuttalli,-116.34,31.94
nuttalli,-116.54,32.84
nuttalli,-120.32,37.52
nuttalli,-121.08,38.61
nuttalli,-119.29,34.29
nuttalli,-122.27,37.32
nuttalli,-120.02,35.64
nuttalli,-117.34,34.43
nuttalli,-119.4,36.62
nuttalli,-115.81,33.71
nuttalli,-119.01,45.69
nuttalli,-120.69,36.58
nuttalli,-121.05,38.5
nuttalli,-113.02,31.94
nuttalli,-121.14,37.17
nuttalli,-118.46,34.45
nuttalli,-122.8,38.37
nuttalli,-116.33,33.23
nuttalli,-122.54,38.99
nuttalli,-118.39,34.73
nuttalli,-118.07,33.89
nuttalli,-117.98,35.36
nuttalli,-119.56,34.04
nuttalli,-117.89,34.62
nuttalli,-117.9,33.68
nuttalli,-122.37,40.58
nuttalli,-111.65,33.17
nuttalli,-117.09,33.51
nuttalli,-118.59,34.38
nuttalli,-122.31,40.47
nuttalli,-119.84,34.44
