assigned,longitude,latitude
pugetensis,-123.38,43.23
pugetensis,-122.87,42.3
pugetensis,-124.28,43.45
pugetensis,-123.01,43.33
pugetensis,-123.32,43.48
pugetensis,-121.81,42.16
pugetensis,-121.93,42.58
pugetensis,-124.4,43.31
pugetensis,-122.14,42.91
pugetensis,-124,41.21
pugetensis,-124.28,40.7
pugetensis,-124.01,41.64
pugetensis,-124.43,43.12
pugetensis,-124.22,43.26
pugetensis,-124.08,41.79
pugetensis,-124.09,41.28
pugetensis,-121.88,42.28
pugetensis,-124.14,41.7
pugetensis,-124.14,41.38
pugetensis,-124.09,40.87
pugetensis,-123.5,42.19
pugetensis,-124.1,43.17
pugetensis,-124.17,41.91
pugetensis,-124.21,42
pugetensis,-123.99,40.76
pugetensis,-124.06,40.54
pugetensis,-124.2,42.11
pugetensis,-124.54,42.84
pugetensis,-124.33,42.08
pugetensis,-122.74,42.7
pugetensis,-122.55,42.8
pugetensis,-124.14,43.06
pugetensis,-124.41,42.27
pugetensis,-124.35,43.21
pugetensis,-124.46,42.91
pugetensis,-124.46,43
pugetensis,-124.25,41.78
pugetensis,-124.17,40.79
pugetensis,-123.97,40.86
pugetensis,-122.61,42.07
pugetensis,-124.05,41.55
pugetensis,-124.16,41.13
pugetensis,-124.02,41.36
pugetensis,-124.08,40.97
pugetensis,-124.26,40.58
pugetensis,-124.5,42.75
pugetensis,-124.42,42.41
pugetensis,-122.8,42.57
pugetensis,-124.07,42.88
pugetensis,-124.22,43.37
