assigned,longitude,latitude
peninsulae,-110.103063,23.802121
peninsulae,-110.100792,24.005611
peninsulae,-109.56841,23.596691
peninsulae,-109.734955,23.800869
peninsulae,-104.412025,23.45919
peninsulae,-110.15711,23.281315
peninsulae,-110.01537,23.721102
peninsulae,-104.43612,24.2226
peninsulae,-110.25583,23.468607
peninsulae,-106.600746,23.459093
peninsulae,-109.43999,23.247047
peninsulae,-109.701866,23.704197
peninsulae,-110.1872865049,23.8728891026
peninsulae,-107.9856102993,24.6511326919
peninsulae,-106.4418966111,23.9429233333
peninsulae,-107.32273,24.8631533333
peninsulae,-109.4986130556,23.1590897222
peninsulae,-104.5806286857,24.1339444818
peninsulae,-110.8838274166,23.9905730898
peninsulae,-109.6705292252,23.3663918045
peninsulae,-109.8158821954,22.9322928454
peninsulae,-110.0073116279,22.9646235291
peninsulae,-104.6962485496,24.0250957731
peninsulae,-109.502937533,23.3481950757
peninsulae,-110.0897121551,23.0143797937
peninsulae,-110.1538422646,22.8368864591
peninsulae,-106.590793,23.684669
peninsulae,-107.4396586084,24.8961742956
peninsulae,-106.4822975452,23.3311546377
peninsulae,-106.0438781725,23.261822727
peninsulae,-105.9192679077,23.2398809194
peninsulae,-106.2629966038,23.7935989407
peninsulae,-106.2656984676,23.6524476413
peninsulae,-107.4346266667,24.796975
peninsulae,-109.4275883333,23.4404133333
peninsulae,-106.7681243074,23.7232465005
peninsulae,-109.6704030556,23.5385780556
peninsulae,-109.7341537583,23.4611078948
peninsulae,-110.08512217,23.172395
peninsulae,-109.8241542906,23.5500878458
peninsulae,-106.505791116,23.8574356171
peninsulae,-110.0831683333,24.20941
peninsulae,-106.5736599124,23.5886271021
peninsulae,-106.271945,23.236815
peninsulae,-110.2082666667,23.3892966667
peninsulae,-106.6270533333,24.05455
peninsulae,-106.8267631531,23.8733666824
peninsulae,-104.3756103,23.5476219
peninsulae,-104.267967,23.867535
peninsulae,-104.53245,24.054307
peninsulae,-106.46778,23.558617
peninsulae,-106.148796,23.2521247
peninsulae,-109.77054,23.2571128
peninsulae,-106.4155556,23.2188889
peninsulae,-109.925464,23.650933
peninsulae,-110.0967,23.5451
peninsulae,-110.300554,24.045405
peninsulae,-109.916667,22.883333
peninsulae,-110.591667,24.877778
peninsulae,-109.7014765,23.1787422
peninsulae,-110.2,23.75
peninsulae,-110.250553,24.1504
peninsulae,-109.966667,23.5
peninsulae,-109.7779200157,23.3679591787
peninsulae,-109.9981289729,23.0705106115
peninsulae,-110.4256069194,24.1345961671
peninsulae,-109.690538,23.0554525
