assigned,longitude,latitude
coloradense,-115.26358,36.323859
coloradense,-114.025432,32.70101
coloradense,-114.07554,36.796552
coloradense,-111.315629,31.94114
coloradense,-111.86049,33.649216
coloradense,-108.82154,31.715767
coloradense,-113.02033,31.943611
coloradense,-114.47973,36.626102
coloradense,-108.830315,31.805485
coloradense,-109.65775,31.641382
coloradense,-115.45023,36.163204
coloradense,-110.011734,32.26959
coloradense,-112.85397,32.46652
coloradense,-114.71417,36.711864
coloradense,-109.12535,31.775644
coloradense,-109.68784,32.057224
coloradense,-114.35758,32.7638
coloradense,-111.051216,32.37593
coloradense,-113.352325,32.796986
coloradense,-110.91239,32.424404
coloradense,-110.001434,31.571093
coloradense,-113.50186,37.117725
coloradense,-112.98437,36.991364
coloradense,-114.09,33.3834
coloradense,-112.010635,33.831455
coloradense,-110.28546,31.350674
coloradense,-109.02266,31.744532
coloradense,-112.75193,32.38956
coloradense,-111.85353,34.913277
coloradense,-109.72002,31.561499
coloradense,-113.76736,33.674664
coloradense,-111.74384,32.503525
coloradense,-116.19454,35.800976
coloradense,-110.67476,32.32955
coloradense,-111.252174,31.530294
coloradense,-109.756966,32.141716
coloradense,-114.53232,33.915108
coloradense,-114.333,34.132
coloradense,-112.05948,33.599182
coloradense,-108.92091,31.972544
coloradense,-115.465546,36.06562
coloradense,-112.52261,34.75108
coloradense,-112.05734,34.247463
coloradense,-111.090935,32.475525
coloradense,-112.023315,34.515594
coloradense,-111.02874,31.933249
coloradense,-110.926155,32.578983
coloradense,-109.21282,32.038445
coloradense,-112.60844,34.602135
coloradense,-111.80471,33.78343
coloradense,-112.79821,33.27851
coloradense,-111.05706,31.723797
coloradense,-115.72301,36.577206
coloradense,-111.90594,34.72755
coloradense,-114.84992,36.116077
coloradense,-113.81355,34.615128
coloradense,-110.38864,31.68379
coloradense,-109.69902,31.465843
coloradense,-114.609085,32.717953
coloradense,-111.17869,31.894037
coloradense,-115.30937,36.206387
coloradense,-113.88052,35.07749
coloradense,-115.00371,32.30696
coloradense,-108.94375,32.14404
coloradense,-110.39133,31.80913
coloradense,-110.1736,31.6257
coloradense,-112.71641,32.066467
coloradense,-112.5346,33.465797
coloradense,-115.098305,32.213203
coloradense,-114.46107,33.99325
coloradense,-112.81746,33.877304
coloradense,-112.27682,33.84719
coloradense,-111.436905,34.416527
coloradense,-112.97726,34.1129
coloradense,-115.931984,36.14641
coloradense,-114.178825,34.610954
coloradense,-111.17577,32.555904
coloradense,-115.25941,35.04316
coloradense,-115.08928,35.10574
coloradense,-112.12546,33.869923
coloradense,-114.6569,36.826202
coloradense,-111.4348,31.6618
coloradense,-111.563446,31.495178
coloradense,-112.51826,34.657654
coloradense,-111.70899,34.538963
coloradense,-110.226746,31.722103
coloradense,-109.042656,31.511255
coloradense,-115.52303,35.454254
coloradense,-110.30305,32.193825
coloradense,-110.746475,31.791882
coloradense,-111.98771,33.721146
coloradense,-115.87726,36.27086
coloradense,-116.319725,33.235176
coloradense,-113.95803,34.25005
coloradense,-111.2523,32.82711
coloradense,-113.68135,34.20945
coloradense,-110.81139,32.313107
coloradense,-114.5284,34.774235
coloradense,-112.977234,34.359344
coloradense,-113.03548,34.22043
coloradense,-112.88729,34.462414
coloradense,-114.74479,35.260464
coloradense,-113.82398,37.10393
coloradense,-110.667946,32.75959
coloradense,-113.87638,37.022224
coloradense,-112.40738,34.762474
coloradense,-114.16091,35.43619
coloradense,-112.28658,33.524223
coloradense,-110.35267,31.472704
coloradense,-111.40461,32.645905
coloradense,-115.12785,35.648502
coloradense,-113.79991,36.944157
coloradense,-114.57901,36.69166
coloradense,-109.52882,31.789999
coloradense,-115.88819,35.772964
coloradense,-115.1118,36.625305
coloradense,-113.39923,37.26992
coloradense,-110.93724,31.565184
coloradense,-113.94426,37.167515
coloradense,-114.84696,35.94557
coloradense,-111.24216,31.40302
coloradense,-110.27655,32.66885
coloradense,-112.687355,34.499146
coloradense,-115.70249,35.3884
coloradense,-112.73167,37.037613
coloradense,-109.47775,31.61853
coloradense,-112.25173,35.520775
coloradense,-109.026634,31.8766
coloradense,-109.77607,32.70696
coloradense,-110.24167,32.5031
coloradense,-112.81995,31.860783
coloradense,-109.1585,31.90573
coloradense,-114.32523,36.615166
coloradense,-111.09895,31.547472
coloradense,-113.62881,37.02961
coloradense,-111.2973,31.759588
coloradense,-114.74991,31.94936
coloradense,-112.932045,32.313755
coloradense,-109.76044,32.565315
coloradense,-112.12809,34.544434
coloradense,-110.08535,31.357744
coloradense,-109.95636,31.464417
coloradense,-115.557816,36.27084
coloradense,-114.91228,31.113325
coloradense,-111.43241,31.858288
coloradense,-110.71256,32.54161
coloradense,-111.52224,31.754726
coloradense,-111.77295,34.674065
coloradense,-115.39415,34.977066
coloradense,-115.20917,32.047688
coloradense,-110.42274,32.031364
coloradense,-110.48437,32.126553
coloradense,-113.50838,33.637577
coloradense,-109.05321,32.084194
coloradense,-111.42482,31.44491
coloradense,-110.938034,32.763424
coloradense,-109.621925,31.86706
coloradense,-110.82953,31.570665
coloradense,-113.23576,33.5815
coloradense,-115.3893,36.43321
coloradense,-114.69149,33.2447
coloradense,-114.16804,32.69931
coloradense,-109.80448,32.291557
coloradense,-110.313896,31.585693
coloradense,-109.17624,32.224026
coloradense,-109.310524,31.663153
coloradense,-110.079704,32.045498
coloradense,-110.72969,31.61107
coloradense,-111.855865,33.963413
coloradense,-112.73964,36.86259
coloradense,-113.12854,32.11224
coloradense,-111.51781,31.951832
coloradense,-112.43168,34.86216
coloradense,-109.05292,32.52793
coloradense,-110.2367,32.337
coloradense,-112.51839,37.01552
coloradense,-110.7117,31.503109
coloradense,-112.5149,33.70659
coloradense,-110.61951,31.761538
coloradense,-114.02737,35.269638
coloradense,-112.036125,34.66902
coloradense,-113.54067,32.924026
coloradense,-111.739,33.679
coloradense,-113.27877,32.103718
coloradense,-110.606964,32.228405
coloradense,-111.098114,31.379795
coloradense,-115.65009,35.75351
coloradense,-110.74003,32.630802
coloradense,-108.98377,32.295776
coloradense,-115.59484,36.185757
coloradense,-112.50544,33.568718
coloradense,-112.35435,34.548634
coloradense,-114.199776,36.280243
